Latitude,Longitude,Label
40.7875850351565,74.20637512341344,New York
35.38052485312824,80.98800430754329,Charlotte
25.70992016223931,80.2165021660783,Miami
40.52839729191105,73.94056981262626,New York
35.36590816578943,80.9066547772505,Charlotte
25.73695059037168,80.30956531070659,Miami
40.723888456742685,74.24349456259395,New York
35.05153171823421,80.87699291369294,Charlotte
25.71749858684781,80.21211863629213,Miami
40.80521112060641,74.13615788858637,New York
35.286261904045,80.74183717303924,Charlotte
25.822623097845348,80.26745786619415,Miami
40.526231841247736,74.08971183404763,New York
35.35390321619929,80.78465460688317,Charlotte
25.82426415798885,80.25236571405112,Miami
40.57830851795414,74.2262937487143,New York
35.155539688563,80.877772497399,Charlotte
25.847028122495775,80.19847244622943,Miami
40.674479782791295,73.95768611373586,New York
35.18407693378365,80.89396885350193,Charlotte
25.804870587010075,80.14402197294253,Miami
40.72950607947614,74.2398031577128,New York
35.22365136981371,80.69015649626972,Charlotte
25.719973394049468,80.24752484997526,Miami
40.87336876996068,73.88858820591986,New York
35.10501178325862,80.71171977870986,Charlotte
25.732098278762763,80.27280909300049,Miami
40.75785296497333,73.7182245722913,New York
35.18941450820099,80.64607228167166,Charlotte
25.77100546898737,80.21981547786955,Miami
40.759705587291975,74.11375244544212,New York
35.195438700886555,80.64987009881631,Charlotte
25.846982718460556,80.22430699167792,Miami
40.640697823023906,73.70111611334028,New York
35.26299942243249,80.66814770196005,Charlotte
25.7168309119016,80.14793160856185,Miami
40.51068184844665,73.8382948391035,New York
35.275408430536395,80.70179579647846,Charlotte
25.750829064047533,80.23114480475698,Miami
40.59249321170738,74.02340157943574,New York
35.12074059743022,80.69500493650023,Charlotte
25.72295463493353,80.25081733855059,Miami
40.54233072069186,73.74025463882799,New York
35.084850032250934,80.6480425536526,Charlotte
25.845567175306382,80.31231426524363,Miami
40.66243840853604,74.08835815507278,New York
35.2944302430036,80.93130934668707,Charlotte
25.835238724097437,80.2845538609725,Miami
40.56709053186369,73.76255692297015,New York
35.23710038812531,80.92367132314905,Charlotte
25.753882208626425,80.23253165691747,Miami
40.482304679423656,74.07241286755719,New York
35.09017088836002,80.95444482899799,Charlotte
25.839352797383253,80.18597452415864,Miami
40.64201537691969,73.95265932108694,New York
